family,instance_name,parity,param_n,param_p,param_seed,param_trial,param_rows,param_cols,param_n_left,param_n_right,param_remove_fraction,n,m,density,lp_value,lp_runtime_sec,lp_num_fractional,lp_num_at_half,lp_is_integral,rounded_size,rounded_feasible,rounded_vs_lp_ratio,rounding_runtime_sec,greedy_size,greedy_feasible,greedy_runtime_sec,greedy_vs_lp_ratio,ilp_value,ilp_runtime_sec,rounded_vs_ilp_ratio,greedy_vs_ilp_ratio,integrality_gap
near_clique,near_clique_n16_miss0.15_t0,,16.0,,3031.0,0.0,,,,,0.15,16,102,0.85,8.0,0.016441429033875465,16,16,False,16,True,2.0,8.863979019224644e-06,13,True,0.00047174596693366766,1.625,13.0,0.03582646406721324,1.2307692307692308,1.0,1.625
near_clique,near_clique_n16_miss0.15_t1,,16.0,,3032.0,1.0,,,,,0.15,16,102,0.85,8.0,0.01461029308848083,16,16,False,16,True,2.0,6.008078344166279e-06,14,True,0.0003798359539359808,1.75,14.0,0.04012117092497647,1.1428571428571428,1.0,1.75
near_clique,near_clique_n16_miss0.1_t0,,16.0,,3026.0,0.0,,,,,0.1,16,108,0.9,8.0,0.014205703046172857,16,16,False,16,True,2.0,7.092021405696869e-06,14,True,0.000384635990485549,1.75,14.0,0.04840122093446553,1.1428571428571428,1.0,1.75
near_clique,near_clique_n16_miss0.1_t1,,16.0,,3027.0,1.0,,,,,0.1,16,108,0.9,8.0,0.016193529940210283,16,16,False,16,True,2.0,6.287009455263615e-06,14,True,0.0003920329036191106,1.75,14.0,0.04724661202635616,1.1428571428571428,1.0,1.75
near_clique,near_clique_n20_miss0.2_t0,,20.0,,3040.0,0.0,,,,,0.2,20,152,0.8,10.0,0.014631435042247176,20,20,False,20,True,2.0,7.627997547388077e-06,17,True,0.000489971018396318,1.7,17.0,0.05005813401658088,1.1764705882352942,1.0,1.7
near_clique,near_clique_n20_miss0.2_t1,,20.0,,3041.0,1.0,,,,,0.2,20,152,0.8,10.0,0.014826664002612233,20,20,False,20,True,2.0,7.374095730483532e-06,17,True,0.0005027670413255692,1.7,17.0,0.04473905300255865,1.1764705882352942,1.0,1.7
near_clique,near_clique_n20_miss0.15_t0,,20.0,,3035.0,0.0,,,,,0.15,20,162,0.8526315789473684,10.0,0.016591712017543614,20,20,False,20,True,2.0,9.089009836316109e-06,17,True,0.0005293780704960227,1.7,17.0,0.05863198300357908,1.1764705882352942,1.0,1.7
near_clique,near_clique_n20_miss0.15_t1,,20.0,,3036.0,1.0,,,,,0.15,20,162,0.8526315789473684,10.0,0.015070796012878418,20,20,False,20,True,2.0,9.477022103965282e-06,17,True,0.000520660076290369,1.7,17.0,0.060079573071561754,1.1764705882352942,1.0,1.7
near_clique,near_clique_n20_miss0.1_t0,,20.0,,3030.0,0.0,,,,,0.1,20,171,0.9,10.0,0.014997955993749201,20,20,False,20,True,2.0,1.2555043213069439e-05,17,True,0.0005198880098760128,1.7,17.0,0.07927822100464255,1.1764705882352942,1.0,1.7
near_clique,near_clique_n20_miss0.1_t1,,20.0,,3031.0,1.0,,,,,0.1,20,171,0.9,10.0,0.01527610095217824,20,20,False,20,True,2.0,6.859074346721172e-06,17,True,0.0005348549457266927,1.7,17.0,0.079651034087874,1.1764705882352942,1.0,1.7
random,random_n10_p0.15_t2,,10.0,0.15,2035.0,2.0,,,,,,10,2,0.044444444444444446,2.0,0.016642365022562444,0,0,True,2,True,1.0,3.4909462556242943e-06,2,True,0.00015544204507023096,1.0,2.0,0.016917653032578528,1.0,1.0,1.0
random,random_n10_p0.3_t2,,10.0,0.3,2050.0,2.0,,,,,,10,5,0.1111111111111111,3.0,0.015370711917057633,0,0,True,3,True,1.0,5.3399708122015e-06,3,True,0.00015961797907948494,1.0,3.0,0.023742976947687566,1.0,1.0,1.0
random,random_n10_p0.15_t1,,10.0,0.15,2025.0,1.0,,,,,,10,7,0.15555555555555556,3.0,0.016114051919430494,0,0,True,3,True,1.0,4.181987605988979e-06,3,True,0.00021576101426035166,1.0,3.0,0.018214336945675313,1.0,1.0,1.0
random,random_n10_p0.15_t0,,10.0,0.15,2015.0,0.0,,,,,,10,8,0.17777777777777778,3.5,0.19333114195615053,3,3,False,5,True,1.4285714285714286,6.1480095610022545e-06,4,True,0.00020028604194521904,1.1428571428571428,4.0,0.015624043997377157,1.25,1.0,1.1428571428571428
random,random_n10_p0.3_t0,,10.0,0.3,2030.0,0.0,,,,,,10,13,0.28888888888888886,4.5,0.017525810981169343,9,9,False,9,True,2.0,6.483984179794788e-06,5,True,0.00020532601047307253,1.1111111111111112,5.0,0.02140745602082461,1.8,1.0,1.1111111111111112
random,random_n10_p0.3_t1,,10.0,0.3,2040.0,1.0,,,,,,10,13,0.28888888888888886,4.0,0.016280570067465305,0,0,True,4,True,1.0,4.1120219975709915e-06,5,True,0.00019241205882281065,1.25,4.0,0.018419684027321637,1.0,1.25,1.0
random,random_n10_p0.5_t0,,10.0,0.5,2050.0,0.0,,,,,,10,16,0.35555555555555557,5.0,0.017080938909202814,10,10,False,10,True,2.0,8.784933015704155e-06,5,True,0.00019993004389107227,1.0,5.0,0.019991784007288516,2.0,1.0,1.0
random,random_n10_p0.5_t1,,10.0,0.5,2060.0,1.0,,,,,,10,17,0.37777777777777777,5.0,0.018246421008370817,10,10,False,10,True,2.0,8.628005161881447e-06,6,True,0.0002051310148090124,1.2,5.0,0.020097519038245082,2.0,1.2,1.0
